participantnum,stimulusid,stimulustype,state_or_event,orientation,position,length,delay,response
18,branch_RTSS,dualbranch,state,right,bottom,short,,RC_IC
18,chain_RL,chain,,right,,long,,RC
18,branch_RTMS,dualbranch,state,right,bottom,medium,,RC
19,branch_RTSE1,dualbranch,event,left,bottom,short,2.0,RD_ID
19,branch_RTLS,dualbranch,state,left,bottom,long,,RD
19,chain_RS,chain,,left,,short,,RC_IC
19,branch_RTSE3,dualbranch,event,left,bottom,short,6.0,RD_ID
19,branch_RTLE2,dualbranch,event,left,bottom,long,4.0,RD
19,branch_RTLE3,dualbranch,event,left,bottom,long,6.0,RD
19,branch_RTME3,dualbranch,event,left,top,medium,6.0,RD
19,branch_RTLE1,dualbranch,event,left,top,long,2.0,RD
19,branch_RTMS,dualbranch,state,left,bottom,medium,,RD
19,chain_RL,chain,,left,,long,,RC
19,branch_RTSE2,dualbranch,event,left,bottom,short,4.0,RD_ID
19,chain_RM,chain,,left,,medium,,RC
19,branch_RTME1,dualbranch,event,left,bottom,medium,2.0,RD
19,branch_RTSS,dualbranch,state,left,bottom,short,,RD_ID
19,branch_RTME2,dualbranch,event,left,bottom,medium,4.0,RD
20,branch_RTME3,dualbranch,event,right,top,medium,6.0,RC
20,branch_RTME2,dualbranch,event,right,bottom,medium,4.0,RC
20,branch_RTLE3,dualbranch,event,right,bottom,long,6.0,RC
20,branch_RTLE1,dualbranch,event,right,bottom,long,2.0,RC
20,branch_RTSE2,dualbranch,event,right,top,short,4.0,RC_IC
20,branch_RTSS,dualbranch,state,right,bottom,short,,RC_IC
20,branch_RTLS,dualbranch,state,right,top,long,,RC
20,branch_RTLE2,dualbranch,event,right,bottom,long,4.0,RC
20,branch_RTSE3,dualbranch,event,right,top,short,6.0,RC_IC
20,chain_RM,chain,,right,,medium,,RC
20,branch_RTMS,dualbranch,state,right,bottom,medium,,RC
20,chain_RS,chain,,right,,short,,RC_IC
20,branch_RTSE1,dualbranch,event,right,bottom,short,2.0,RC_IC
20,chain_RL,chain,,right,,long,,RC
20,branch_RTME1,dualbranch,event,right,top,medium,2.0,RC
21,branch_RTLS,dualbranch,state,right,top,long,,RC
21,branch_RTME2,dualbranch,event,right,top,medium,4.0,RC
21,branch_RTSE2,dualbranch,event,right,bottom,short,4.0,RC_IC
21,branch_RTME1,dualbranch,event,right,bottom,medium,2.0,RC
21,branch_RTSE1,dualbranch,event,right,bottom,short,2.0,RC_IC
21,branch_RTLE1,dualbranch,event,right,top,long,2.0,RC
21,branch_RTSE3,dualbranch,event,right,top,short,6.0,RC_IC
21,chain_RL,chain,,right,,long,,RC
21,branch_RTME3,dualbranch,event,right,top,medium,6.0,RC
21,branch_RTLE2,dualbranch,event,right,top,long,4.0,RC
21,branch_RTLE3,dualbranch,event,right,top,long,6.0,RC
21,chain_RM,chain,,right,,medium,,RC
21,chain_RS,chain,,right,,short,,RC_IC
21,branch_RTSS,dualbranch,state,right,top,short,,RC_IC
21,branch_RTMS,dualbranch,state,right,bottom,medium,,RC
22,branch_RTSE2,dualbranch,event,right,top,short,4.0,otherC
22,chain_RS,chain,,right,,short,,otherC
22,branch_RTLS,dualbranch,state,right,top,long,,otherC
22,branch_RTSE1,dualbranch,event,right,bottom,short,2.0,otherD
22,branch_RTMS,dualbranch,state,right,top,medium,,otherC
22,branch_RTME3,dualbranch,event,right,bottom,medium,6.0,otherD
22,branch_RTLE1,dualbranch,event,right,bottom,long,2.0,otherC
22,chain_RL,chain,,right,,long,,otherC
22,chain_RM,chain,,right,,medium,,otherC
22,branch_RTLE2,dualbranch,event,right,top,long,4.0,otherC
22,branch_RTME2,dualbranch,event,right,bottom,medium,4.0,otherD
22,branch_RTME1,dualbranch,event,right,bottom,medium,2.0,otherD
22,branch_RTSE3,dualbranch,event,right,top,short,6.0,otherD
22,branch_RTSS,dualbranch,state,right,bottom,short,,otherD
22,branch_RTLE3,dualbranch,event,right,top,long,6.0,otherC
23,branch_RTLE1,dualbranch,event,right,top,long,2.0,RD
23,branch_RTLS,dualbranch,state,right,top,long,,RC
23,branch_RTLE2,dualbranch,event,right,top,long,4.0,RC
23,branch_RTME2,dualbranch,event,right,top,medium,4.0,RD
23,branch_RTMS,dualbranch,state,right,top,medium,,RC
23,branch_RTME3,dualbranch,event,right,top,medium,6.0,RC
23,chain_RM,chain,,right,,medium,,RC
23,branch_RTSE2,dualbranch,event,right,bottom,short,4.0,RC_IC
23,branch_RTSE1,dualbranch,event,right,bottom,short,2.0,RC_IC
23,branch_RTME1,dualbranch,event,right,bottom,medium,2.0,RC
23,chain_RS,chain,,right,,short,,RC_IC
23,branch_RTSS,dualbranch,state,right,bottom,short,,RC_IC
23,chain_RL,chain,,right,,long,,RC
23,branch_RTLE3,dualbranch,event,right,bottom,long,6.0,RC
23,branch_RTSE3,dualbranch,event,right,bottom,short,6.0,RC_IC
24,branch_RTSE2,dualbranch,event,left,bottom,short,4.0,RD_ID
24,branch_RTME3,dualbranch,event,left,bottom,medium,6.0,RD
24,branch_RTLE3,dualbranch,event,left,top,long,6.0,RD
24,branch_RTLE1,dualbranch,event,left,top,long,2.0,RD
24,branch_RTLS,dualbranch,state,left,top,long,,RD
24,chain_RL,chain,,left,,long,,RC
24,chain_RM,chain,,left,,medium,,RC
24,branch_RTLE2,dualbranch,event,left,top,long,4.0,RD
24,branch_RTSE3,dualbranch,event,left,bottom,short,6.0,RD_ID
24,branch_RTMS,dualbranch,state,left,top,medium,,RD
